itemid	wordnum	word	FullText	FullTextMarked
1	1	Samuel	Samuel	*Samuel*
1	2	Morse,	Samuel Morse,	Samuel *Morse,*
1	3	best	Samuel Morse, best	Samuel Morse, *best*
1	4	known	Samuel Morse, best known	Samuel Morse, best *known*
1	5	today	Samuel Morse, best known today	Samuel Morse, best known *today*
1	6	as	Samuel Morse, best known today as	Samuel Morse, best known today *as*
1	7	the	Samuel Morse, best known today as the	Samuel Morse, best known today as *the*
1	8	inventor	Samuel Morse, best known today as the inventor	Samuel Morse, best known today as the *inventor*
1	9	of	Samuel Morse, best known today as the inventor of	Samuel Morse, best known today as the inventor *of*
1	10	Morse	Samuel Morse, best known today as the inventor of Morse	Samuel Morse, best known today as the inventor of *Morse*
1	11	Code	Samuel Morse, best known today as the inventor of Morse Code	Samuel Morse, best known today as the inventor of Morse *Code*
1	12	and	Samuel Morse, best known today as the inventor of Morse Code and	Samuel Morse, best known today as the inventor of Morse Code *and*
1	13	one	Samuel Morse, best known today as the inventor of Morse Code and one	Samuel Morse, best known today as the inventor of Morse Code and *one*
1	14	of	Samuel Morse, best known today as the inventor of Morse Code and one of	Samuel Morse, best known today as the inventor of Morse Code and one *of*
1	15	the	Samuel Morse, best known today as the inventor of Morse Code and one of the	Samuel Morse, best known today as the inventor of Morse Code and one of *the*
1	16	inventors	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors	Samuel Morse, best known today as the inventor of Morse Code and one of the *inventors*
1	17	of	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors *of*
1	18	the	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of *the*
1	19	telegraph,	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph,	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the *telegraph,*
1	20	was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, *was*
1	21	originally	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was *originally*
1	22	a	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally *a*
1	23	prominent	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a *prominent*
1	24	painter.	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter.	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent *painter.*
1	25	While	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. *While*
1	26	he	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While *he*
1	27	was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he *was*
1	28	always	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was *always*
1	29	interested	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always interested	Samuel Morse, best known today as the inventor of Morse Code and one of the inventors of the telegraph, was originally a prominent painter. While he was always *interested*
